task,count,pct,ai_autonomy_mean,ai_autonomy_median,ai_education_years_mean,human_education_years_mean,human_only_time_mean,human_with_ai_time_mean
"identify opportunities to reuse or recycle materials to minimize consumption of new materials, minimize waste, or to convert wastes to by-products.",15.0000,0.0015,3.7333,4.0000,11.7333,11.5333,4.0933,13.6667
"identify or classify species of insects or allied forms, such as mites or spiders.",60.0000,0.0060,3.4667,4.0000,9.2167,7.5333,1.2038,7.8917
identify or develop business rules or standard operating procedures to streamline operating processes.,34.0000,0.0034,3.2353,3.5000,14.4118,14.9118,6.7676,21.7353
identify or maintain links to and from other web sites and check links to ensure proper functioning.,66.0000,0.0066,2.8182,3.0000,10.3485,10.3636,0.9189,6.3636
"identify or recommend integrated weed and pest management (ipm) strategies, such as resistant plants, cultural or behavioral controls, soil amendments, insects, natural enemies, barriers, or pesticides.",75.0000,0.0075,3.5467,4.0000,7.8800,6.8533,0.7813,11.0200
identify or separate waste products or materials for recycling or reuse.,42.0000,0.0042,3.1667,3.0000,8.4286,7.8810,0.9167,5.2262
identify patients who are at risk of complications due to nutritional status.,24.0000,0.0024,3.5000,4.0000,10.5417,9.8333,1.1687,8.3542
"identify potential clients, using advertising campaigns, mailing lists, or personal contacts.",38.0000,0.0038,3.3684,4.0000,11.5789,11.1053,2.5555,11.1842
identify potential for loss and develop strategies to eliminate it.,177.0000,0.0177,3.5311,4.0000,15.0960,14.7797,4.3119,17.5311
"identify prospective customers by using business directories, following leads from existing clients, participating in organizations and clubs, and attending trade shows and conferences.",102.0000,0.0102,3.4510,4.0000,12.9412,12.8431,3.6402,13.1618
"identify prospective customers using business directories, leads from existing clients, participation in organizations, or trade show or conference attendance.",26.0000,0.0026,3.3077,4.0000,13.0769,13.5769,3.7692,12.7500
"identify psychological, emotional, or behavioral issues and diagnose disorders, using information obtained from interviews, tests, records, and reference materials.",311.0000,0.0311,3.7846,4.0000,11.9614,10.4598,1.9068,17.5723
"identify relationships and trends in data, as well as any factors that could affect the results of research.",145.0000,0.0145,3.5103,4.0000,13.5103,13.8690,3.8534,18.7966
identify solutions to on-site technical design problems involving electrical systems equipment.,66.0000,0.0066,3.3485,3.0000,12.6970,12.1364,1.9545,15.2121
"identify spatial coordinates, using remote sensing and global positioning system (gps) data.",22.0000,0.0022,3.2727,3.0000,9.2727,9.3636,1.5605,8.5682
"identify staff vacancies and recruit, interview and select applicants.",21.0000,0.0021,3.3810,4.0000,12.7619,13.2857,2.6214,18.3810
"identify system data, hardware, or software components required to meet user needs.",142.0000,0.0142,3.5915,4.0000,13.8803,13.9789,4.1081,13.2254
"identify target markets for designs, looking at factors such as age, gender, and socioeconomic status.",15.0000,0.0015,3.4667,4.0000,11.0667,11.1333,2.0167,5.7667
"identify tissue structures or cell components to be used in the diagnosis, prevention, or treatment of diseases.",53.0000,0.0053,3.2264,3.0000,15.3208,15.4528,2.9821,15.0094
identify transaction mistakes when debits and credits do not balance.,25.0000,0.0025,3.2400,3.0000,13.5600,13.5600,2.4020,13.6400
"identify, compile, abstract, and code patient data, using standard classification systems.",60.0000,0.0060,3.0333,3.0000,15.4500,15.5500,3.5630,12.8417
"identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",546.0000,0.0546,3.7143,4.0000,13.3480,13.3919,5.9180,20.3672
"identify, evaluate and recommend hardware or software technologies to achieve desired database performance.",698.0000,0.0698,3.6648,4.0000,14.6805,14.9842,2.0420,11.4298
"identify, evaluate, or procure hardware or software for implementing online marketing campaigns.",18.0000,0.0018,3.7222,4.0000,12.3333,11.6111,1.4933,8.1944
"identify, investigate, or resolve security breaches.",1340.0000,0.1340,3.5455,4.0000,12.9060,12.5381,2.0648,16.1039
"identify, monitor, or treat pregnancy-related problems such as hypertension, gestational diabetes, pre-term labor, and retarded fetal growth.",50.0000,0.0050,3.4800,4.0000,12.8200,11.6400,1.3376,11.5700
"identify, review, or select vendors or consultants to meet project needs.",28.0000,0.0028,3.5714,4.0000,12.2857,12.5000,1.5296,7.8571
"identify, standardize, and communicate levels of access and security.",377.0000,0.0377,3.3448,3.0000,12.8541,12.3130,1.7562,11.1684
"identify, track, or maintain metrics for trading system operations.",45.0000,0.0045,3.1556,4.0000,12.4889,13.0000,3.5233,16.1444
"implement and provide technical support for voice services and equipment, such as private branch exchange, voice mail system, and telecom system.",87.0000,0.0087,3.4713,4.0000,11.7471,11.3908,1.3446,15.3736
"implement business rules via stored procedures, middleware, or other technologies.",22.0000,0.0022,3.5455,4.0000,13.4545,14.2273,3.8218,18.4545
"implement changes to machine programs and enter new specifications, using computers.",43.0000,0.0043,3.6977,4.0000,14.9302,14.6279,5.4316,16.2326
"implement controls to provide security for operating systems, software, and data.",74.0000,0.0074,3.2297,3.5000,13.3919,12.5946,2.4180,13.4189
implement financial planning recommendations or refer clients to someone who can assist them with plan implementation.,26.0000,0.0026,3.5769,4.0000,13.3077,12.9615,3.6269,25.5385
"implement grant-funded projects, monitoring and reporting progress in accordance with sponsoring agency requirements.",40.0000,0.0040,3.1500,3.0000,14.0000,14.5250,2.7775,16.2750
"implement or monitor carbon or environmental management, accounting, or audit systems.",20.0000,0.0020,3.3000,3.5000,14.3500,14.9000,3.6500,16.5000
implement or monitor processes to reduce property or financial losses.,29.0000,0.0029,3.3103,4.0000,15.5517,15.4483,3.6379,17.5172
"implement security practices to preserve assets, minimize liabilities, or ensure customer privacy, using parallel servers, hardware redundancy, fail-safe technology, information encryption, or firewalls.",128.0000,0.0128,3.5547,4.0000,14.0312,13.5312,5.4236,20.0508
"implement web site security measures, such as firewalls or message encryption.",123.0000,0.0123,3.4634,4.0000,13.5203,13.3984,2.0992,16.2236
"import text and art elements, such as electronic clip art or electronic files from photographs that have been scanned or produced with a digital camera, using computer software.",87.0000,0.0087,3.6552,4.0000,9.2184,8.9425,2.5360,9.9598
"improve search-related activities through ongoing analysis, experimentation, or optimization tests, using a/b or multivariate methods.",77.0000,0.0077,3.4286,4.0000,12.4026,12.3766,3.4170,15.7403
"induce changes in composition of substances by introducing heat, light, energy, or chemical catalysts for quantitative or qualitative analysis.",32.0000,0.0032,3.4062,3.5000,11.4688,10.5000,2.4000,13.1250
inform and advise concerned parties regarding fluctuations or securities transactions affecting plans or accounts.,149.0000,0.0149,3.1275,3.0000,12.8926,12.9463,1.6348,11.0000
inform and educate the public about fire prevention.,37.0000,0.0037,3.2162,3.0000,10.5135,10.2162,1.8157,10.8514
"inform and respond to public regarding wildlife and conservation issues, such as plant identification, hunting ordinances, and nuisance wildlife.",17.0000,0.0017,3.4706,3.0000,8.5882,7.2941,0.8676,5.7941
"inform businesses, community groups, and governmental agencies about educational needs, available programs, and program policies.",151.0000,0.0151,3.1656,3.0000,10.8808,11.5430,1.8230,9.9967
"inform clients of essential travel information, such as travel times, transportation connections, and medical and visa requirements.",32.0000,0.0032,2.8750,3.0000,8.7500,8.2500,1.2237,6.6094
"inform clients of factors such as shipping options, timelines, transfers, or regulations affecting shipments.",56.0000,0.0056,3.0893,3.0000,10.4821,10.0357,1.2750,8.0625
inform company employees or other interested parties of environmental issues.,15.0000,0.0015,3.6667,4.0000,9.4667,9.4000,1.0887,6.6000
inform customers by mail or telephone of additional steps they need to take to obtain licenses.,56.0000,0.0056,2.9643,3.0000,11.7857,11.0000,1.2929,9.0446
inform individuals and groups about the financial assistance available to college or university students.,45.0000,0.0045,3.3556,4.0000,11.5556,11.5556,1.9689,10.3778
"inform individuals and groups of pollution control regulations and inspection findings, and explain how problems can be corrected.",27.0000,0.0027,3.0741,3.0000,11.7037,10.8148,2.8426,11.2037
"inform investment decisions by analyzing financial information to forecast business, industry, or economic conditions.",1140.0000,0.1140,3.4500,4.0000,13.8974,13.4263,4.0134,11.9390
inform job applicants of their acceptance or rejection of employment.,76.0000,0.0076,3.4474,4.0000,11.1447,11.1184,0.7099,6.5000
"inform other traders, managers, or customers of market conditions, including volume, price, competition, or dynamics.",302.0000,0.0302,3.0530,3.0000,11.9106,11.5232,1.0506,5.4371
"inform passengers of how to mail prohibited items to themselves, or confiscate these items.",20.0000,0.0020,2.7000,3.0000,8.2000,7.3500,0.3890,2.7250
inform patients or caregivers about study aspects and outcomes to be expected.,51.0000,0.0051,3.4118,4.0000,13.4510,12.8627,2.3210,9.5784
"inform patients or families of neurological diagnoses and prognoses, or benefits, risks and costs of various treatment plans.",23.0000,0.0023,3.7826,4.0000,13.0870,11.2174,1.2804,12.8913
"inform personnel of changes in regulations and policies, implications of new or amended laws, and new techniques of police work.",47.0000,0.0047,3.2553,3.0000,10.4468,10.0000,1.4883,6.8830
inform workers about interests or special needs of specific groups.,26.0000,0.0026,3.6538,4.0000,11.8462,11.6923,1.3154,7.5000
initiate market research studies or analyze their findings.,28.0000,0.0028,3.4286,4.0000,11.6786,12.9286,3.0725,8.1429
"initiate, facilitate, and moderate classroom discussions.",217.0000,0.0217,3.2995,4.0000,11.8848,11.6959,1.3206,11.8203
"initiate, review, or approve modifications to project plans.",15.0000,0.0015,2.8667,3.0000,13.8667,14.2667,6.0067,15.2000
"input data, such as file numbers, new or updated information, or document information codes into computer systems to support document and information retrieval.",33.0000,0.0033,3.0606,3.0000,12.4242,12.9394,4.9439,9.0455
"inspect and test electrical or electronic systems to locate and diagnose malfunctions, using visual inspections and testing instruments such as oscilloscopes and voltmeters.",85.0000,0.0085,3.6941,4.0000,11.4588,10.8706,1.5535,19.9529
"inspect and test electrical systems and equipment to locate and diagnose malfunctions, using visual inspections, testing devices, and computer software.",56.0000,0.0056,3.5179,4.0000,10.4464,9.2321,0.8475,15.3393
"inspect cargo, baggage, and personal articles entering or leaving u.s. for compliance with revenue laws and u.s. customs regulations.",24.0000,0.0024,2.7917,3.0000,9.0833,8.5833,1.3729,6.7500
"inspect developed film for specified results and quality, using magnifying glasses and scopes, forwarding acceptable negatives or positives to other workers or to customers.",17.0000,0.0017,3.8235,4.0000,9.4118,7.8824,0.9441,10.2941
inspect event facilities to ensure that they conform to customer requirements.,55.0000,0.0055,3.0909,3.0000,11.8182,11.9636,2.4633,13.5273
inspect food products and processing procedures to determine whether products are safe to eat.,18.0000,0.0018,3.0556,3.0000,10.9444,10.3333,2.1972,11.5833
"inspect individual parts, assemblies, or installations, using measuring instruments, such as calipers, scales, or micrometers.",34.0000,0.0034,3.4706,4.0000,11.0000,10.4706,1.0609,9.0588
"inspect layouts and advertising copy and edit scripts, audio and video tapes, and other promotional material for adherence to specifications.",183.0000,0.0183,3.3934,4.0000,12.1858,12.3005,2.4372,14.8661
"inspect or monitor energy systems, including heating, ventilating, and air conditioning (hvac) or daylighting systems to determine energy use or potential energy savings.",18.0000,0.0018,3.6111,4.0000,11.9444,11.3889,2.9639,17.6111
inspect premises to assess the need for repairs and to ensure that climate and pest control issues are addressed.,15.0000,0.0015,3.6000,4.0000,9.9333,8.3333,1.1167,10.4333
inspect project site and evaluate contractor work to detect design malfunctions and ensure conformance to design specifications and applicable codes.,24.0000,0.0024,3.4167,4.0000,14.0000,13.5833,3.5542,18.7500
inspect project sites to monitor progress and ensure conformance to design specifications and safety or sanitation standards.,36.0000,0.0036,3.3056,3.0000,13.2500,13.0000,3.1000,18.0972
"inspect properties to evaluate construction, condition, special features, and functional design, and to take property measurements.",42.0000,0.0042,3.1905,3.0000,12.5714,12.7381,2.5690,11.2143
"inspect properties, considering factors such as market value, location, and building or replacement costs to determine appraisal value.",20.0000,0.0020,3.3500,3.5000,12.7500,11.7000,2.9000,12.1500
inspect public establishments to ensure compliance with rules and regulations.,15.0000,0.0015,2.8667,3.0000,13.9333,13.8000,2.9200,15.6333
"inspect structures to assess material or equipment needs, to establish the sequence of pipe installations, or to plan installation around obstructions such as electrical wiring.",24.0000,0.0024,3.2917,3.0000,9.2917,8.0417,0.8963,12.3958
"inspect workplaces to ensure the absence of health and safety hazards, such as high noise levels, radiation, or potential lighting hazards.",18.0000,0.0018,3.0556,4.0000,14.7778,14.2222,5.7917,16.0556
"inspect, repair, or replace brake systems.",24.0000,0.0024,3.5417,4.0000,8.8750,7.6250,0.8742,12.2500
"install and configure new equipment, including operating software or peripheral equipment.",1119.0000,0.1119,3.3110,3.0000,10.8159,10.4790,1.0861,13.0820
"install and connect auxiliary equipment, such as microphones, amplifiers, disc playback machines, and lights.",17.0000,0.0017,3.5294,4.0000,10.5882,10.0000,1.4118,9.9706
"install and perform minor repairs to hardware, software, or peripheral equipment, following design or installation specifications.",992.0000,0.0992,3.3468,3.0000,10.9980,10.6442,1.1881,19.0227
"install and seal air ducts, combustion air openings, or ventilation openings to improve heating and cooling efficiency.",24.0000,0.0024,3.4167,3.0000,9.7500,9.5417,1.1200,11.9583
"install hardware, such as hinges, handles, catches, or drawer pulls, using hand tools.",23.0000,0.0023,3.3043,3.0000,8.0870,7.7826,0.4000,16.2391
"install network software, including security or firewall software.",40.0000,0.0040,3.5250,4.0000,13.0500,13.0500,1.6812,14.6000
"install pipe assemblies, fittings, valves, appliances such as dishwashers or water heaters, or fixtures such as sinks or toilets, using hand or power tools.",30.0000,0.0030,3.3000,3.0000,8.4000,7.6000,0.8050,14.1833
"install systems of recording costs or other financial and budgetary data or provide advice on such systems, based on examination of current financial records.",112.0000,0.0112,3.4821,4.0000,13.7232,13.5714,2.1855,13.8438
"install updated software, and programs that maintain existing software or provide requested features such as time-correlated call routing.",173.0000,0.0173,3.3526,3.0000,11.9827,11.4855,1.4931,13.6329
"install, arrange, assemble, and prepare artifacts for exhibition, ensuring the artifacts' safety, reporting their status and condition, and identifying and correcting any problems with the set up.",18.0000,0.0018,2.7778,2.5000,11.6111,12.0556,2.6306,20.3611
"install, calibrate, operate, or maintain robots.",15.0000,0.0015,3.8667,4.0000,13.6000,13.5333,3.3167,17.8667
"install, service, and repair electronic equipment or instruments such as televisions, radios, and videocassette recorders.",253.0000,0.0253,3.4111,4.0000,8.3004,7.6759,0.5928,9.1225
"instruct and counsel patients about prescribed therapeutic regimens, normal growth and development, family planning, emotional problems of daily living, and health maintenance.",54.0000,0.0054,3.6111,4.0000,10.3333,9.4630,1.2759,11.4537
"instruct customers regarding operation and care of appliances, and provide information such as emergency service numbers.",23.0000,0.0023,3.1739,3.0000,7.5217,7.2609,0.4548,11.7391
"instruct in use of voice, video, and data communications systems.",216.0000,0.0216,3.4491,4.0000,11.0787,10.5463,1.1249,8.7616
instruct individuals and groups on ways to preserve health and prevent disease.,87.0000,0.0087,3.4598,4.0000,10.0000,8.6897,1.4960,9.0172
"instruct individuals in career development techniques such as job search and application strategies, resume writing, and interview skills.",12018.0000,1.2018,3.4580,4.0000,13.3488,13.7651,2.6295,19.2557
"instruct individuals or groups in sports rules, game strategies, and performance principles, such as specific ways of moving the body, hands, or feet, to achieve desired results.",218.0000,0.0218,3.8349,4.0000,8.7615,7.9404,1.8709,13.6009
"instruct individuals or groups in the use of art media, such as paint, clay, or yarn.",132.0000,0.0132,3.7121,4.0000,8.6591,7.7803,1.3505,15.8295
"instruct individuals, families, or other groups on topics such as health education, disease prevention, or childbirth and develop health improvement programs.",49.0000,0.0049,3.4490,4.0000,10.5102,9.9388,2.6714,13.4898
"instruct others in program methods, procedures, or functions.",190.0000,0.0190,3.4526,4.0000,11.6842,11.9316,2.1393,14.9474
instruct others in the selection and use of bioinformatics tools.,232.0000,0.0232,3.4224,4.0000,15.9828,16.2069,2.5525,15.5496
instruct participants in maintaining exertion levels to maximize benefits from exercise routines.,114.0000,0.0114,3.6404,4.0000,9.3860,8.1053,0.6639,8.6228
instruct patient and family in treatment procedures to be continued at home.,19.0000,0.0019,3.7895,4.0000,10.2105,9.1053,2.9079,19.0000
"instruct patrons on how to use reference sources, card catalogs, and automated information systems.",29.0000,0.0029,3.1379,3.0000,9.7931,9.7241,0.7686,6.0690
instruct people who seek conversion to a particular faith.,31.0000,0.0031,3.7097,4.0000,9.7742,8.8065,3.0258,16.6129
instruct personnel in radiation safety procedures and demonstrate use of protective clothing and equipment.,22.0000,0.0022,3.2273,4.0000,12.1364,11.6818,2.4818,12.2955
"instruct radiologic staff in desired techniques, positions, or projections.",16.0000,0.0016,3.3125,4.0000,14.7500,14.1250,1.2687,6.2500
instruct staff on how to handle difficult and complicated sales.,178.0000,0.0178,3.7303,4.0000,12.0730,12.2697,2.7090,15.1348
"instruct students in the knowledge and skills required in a specific occupation or occupational field, using a systematic plan of lectures, discussions, audio-visual presentations, and laboratory, shop and field studies.",968.0000,0.0968,3.6240,4.0000,12.4907,12.1694,4.2101,22.1632
"instruct students individually and in groups, using various teaching methods such as lectures, discussions, and demonstrations.",37.0000,0.0037,3.6486,4.0000,13.1622,13.2432,2.6108,15.1622
"instruct through lectures, discussions, and demonstrations in one or more subjects, such as english, mathematics, or social studies.",2945.0000,0.2945,3.4065,4.0000,10.5334,10.3559,1.8457,11.1421
"instruct trainees in how to use television production equipment, how to film events, and how to copy and edit graphics or sound onto videotape.",22.0000,0.0022,3.5000,4.0000,9.5000,8.0909,1.1182,9.8864
instruct undergraduate and graduate students within the areas of cellular or molecular biology.,56.0000,0.0056,3.2143,3.0000,13.1786,13.3929,1.2237,13.9286
"instruct users in the selection, use, and design of audio-visual materials and assist them in the preparation of instructional materials and the rehearsal of presentations.",147.0000,0.0147,3.5034,4.0000,9.6259,8.9728,1.3703,9.7585
insulate shells and cabinets of systems.,47.0000,0.0047,3.2128,3.0000,10.5745,9.9574,1.6128,16.1702
"integrate and develop visual elements, such as line, space, mass, color, and perspective, to produce desired effects, such as the illustration of ideas, emotions, or moods.",372.0000,0.0372,3.6237,4.0000,9.8737,9.3522,2.8901,13.4731
integrate electrical systems with renewable energy systems to improve overall efficiency.,60.0000,0.0060,3.6333,4.0000,14.9333,14.9667,5.8800,19.1917
"integrate nanotechnology with antimicrobial properties into products, such as household or medical appliances, to reduce the development of bacteria or other microbes.",25.0000,0.0025,3.7200,4.0000,16.0800,16.2800,6.5760,15.1200
integrate online retailing strategy with physical or catalogue retailing operations.,27.0000,0.0027,3.4074,4.0000,11.8519,11.8519,5.1056,21.9444
"integrate software or hardware components, using computer, microprocessor, or control architecture.",34.0000,0.0034,3.7059,4.0000,14.1176,14.1471,7.2074,22.7206
"interact with clients to assist them in gaining insight, defining goals, and planning action to achieve effective personal, social, educational, and vocational development and adjustment.",4308.0000,0.4308,3.8493,4.0000,11.0265,11.0023,2.4725,25.2789
"interact with the public to answer traffic-related questions, respond to complaints or requests, or discuss traffic control ordinances, plans, policies, or procedures.",96.0000,0.0096,2.8854,3.0000,9.2396,8.6562,0.6710,7.4427
"interpret and analyze policies, public issues, legislation, or the operations of governments, businesses, and organizations.",455.0000,0.0455,3.3956,4.0000,13.1495,12.7033,3.3874,11.5560
interpret and communicate work procedures and company policies to staff.,40.0000,0.0040,3.2250,3.0000,12.1250,12.3000,0.9688,11.0750
"interpret and explain human resources policies, procedures, laws, standards, or regulations.",146.0000,0.0146,3.1986,3.0000,13.2260,13.0342,1.9397,11.8219
"interpret and explain information such as eligibility requirements, application details, payment methods, and applicants' legal rights.",311.0000,0.0311,2.9453,3.0000,11.2701,10.6656,1.2433,10.3746
"interpret and explain laws and regulations to travelers, prospective immigrants, shippers, and manufacturers.",21.0000,0.0021,3.0476,3.0000,11.5238,11.1429,0.6348,7.1905
"interpret and explain plans and contract terms to representatives of the owner or developer, including administrative staff, workers, or clients.",137.0000,0.0137,3.2701,3.0000,12.9343,12.7883,2.1985,12.9197
"interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",411.0000,0.0411,3.0170,3.0000,11.4453,10.9757,1.6791,11.1217
interpret clinical or diagnostic test results.,34.0000,0.0034,3.4118,4.0000,13.1176,11.3529,0.9082,11.9412
interpret contractual agreements for employers and employees engaged in collective bargaining or other labor relations processes.,25.0000,0.0025,3.2400,3.0000,12.9600,12.2800,2.0940,20.3400
"interpret data on logistics elements, such as availability, maintainability, reliability, supply chain management, strategic sourcing or distribution, supplier management, or transportation.",26.0000,0.0026,3.3846,4.0000,13.3077,12.7692,3.1269,10.4615
"interpret data on price, yield, stability, future investment-risk trends, economic influences, and other factors affecting investment programs.",354.0000,0.0354,3.3079,3.0000,13.4802,13.1525,2.0508,11.9251
"interpret data, reports, maps, photographs, or charts to predict long- or short-range weather conditions, using computer models and knowledge of climate theory, physics, and mathematics.",207.0000,0.0207,3.4251,4.0000,10.6763,10.1014,1.9567,9.9010
interpret diagnostic or laboratory tests such as electrocardiograms (ekgs) and renal functioning tests.,120.0000,0.0120,3.4333,4.0000,13.0417,10.8333,1.3836,13.4708
interpret diagnostic test results for deviations from normal.,471.0000,0.0471,3.4798,4.0000,12.7665,10.9490,1.3083,13.2059
interpret diagnostic test results to make appropriate differential diagnoses.,113.0000,0.0113,3.4956,4.0000,13.0973,11.2035,1.5575,13.7168
"interpret engineering drawings, sketches, or diagrams.",38.0000,0.0038,3.1579,3.0000,14.3684,14.5000,2.2292,13.8553
"interpret engineering sketches, specifications, or drawings.",28.0000,0.0028,3.1786,3.0000,13.3929,13.8214,1.1689,11.2321
interpret exercise program participant data to evaluate progress or identify needed program changes.,258.0000,0.0258,3.5233,4.0000,10.4419,9.0853,1.5819,17.0911
interpret government regulations and applicable codes to ensure compliance.,285.0000,0.0285,3.0561,3.0000,12.6491,12.0842,2.1444,11.6000
interpret imaging data and confer with other medical specialists to formulate diagnoses.,77.0000,0.0077,3.3377,3.0000,14.2078,13.6753,1.0825,10.5260
interpret insurance data or health reimbursement account (hra) data to develop programs that address specific needs of target populations.,15.0000,0.0015,3.2667,4.0000,14.6000,15.0000,4.4167,14.4667
interpret laboratory results and communicate findings to patients or physicians.,167.0000,0.0167,3.4790,4.0000,12.1018,9.7246,1.1038,12.8952
"interpret laws, rulings and regulations for individuals and businesses.",612.0000,0.0612,3.2794,3.0000,13.2908,12.1209,1.6275,10.9608
"interpret legal requirements, provide safety information, or recommend compliance procedures to contractors, craft workers, engineers, or property owners.",26.0000,0.0026,3.0385,3.0000,10.1538,10.3077,1.7654,9.5577
"interpret or modify music, applying knowledge of harmony, melody, rhythm, and voice production to individualize presentations and maintain audience interest.",69.0000,0.0069,3.6957,4.0000,9.1594,7.7101,0.9964,9.1304
interpret protocols and advise treating physicians on appropriate dosage modifications or treatment calculations based on patient characteristics.,15.0000,0.0015,3.2667,4.0000,16.5333,16.6667,2.4967,17.3333
interpret regulatory rules or rule changes and ensure that they are communicated through corporate policies and procedures.,69.0000,0.0069,3.1014,3.0000,13.9420,14.0000,3.4297,14.8406
"interpret religious education activities to the public through speaking, leading discussions, or writing articles for local or national publications.",66.0000,0.0066,3.2879,3.5000,9.6667,10.1970,1.9515,10.3258
interpret results of financial analysis procedures.,163.0000,0.0163,3.3006,3.0000,14.5215,14.6687,1.8124,12.1748
"interpret safety regulations for others interested in industrial safety such as safety engineers, labor representatives, and safety inspectors.",18.0000,0.0018,3.4444,4.0000,11.2778,11.7222,3.2417,16.7778
"interpret the artistic creations of clients to assess their functioning, needs, or progress.",22.0000,0.0022,3.9545,4.0000,12.2727,10.3182,2.1445,14.9545
"interpret the results of neuroimaging studies such as magnetic resonance imaging (mri), single photon emission computed tomography (spect), and positron emission tomography (pet) scans.",23.0000,0.0023,3.4348,4.0000,13.9565,13.1304,2.8070,10.4130
"interpret transportation or tariff regulations, shipping orders, safety regulations, or company policies and procedures for workers.",18.0000,0.0018,3.0556,3.0000,11.8889,11.6667,2.1128,9.0278
interview applicants and request specified information for loan applications.,24.0000,0.0024,2.7083,3.0000,11.8750,12.0417,0.9771,10.0833
interview clients to determine what kinds of properties they are seeking.,60.0000,0.0060,3.2167,3.0000,10.3833,10.0833,1.7362,9.9625
"interview clients to obtain information about employment history, educational background, and career goals, and to identify barriers to employment.",51.0000,0.0051,3.5294,4.0000,10.9804,11.6667,1.5861,11.4216
"interview clients, review records, conduct assessments, or confer with other professionals to evaluate the mental or physical condition of clients or patients.",30.0000,0.0030,3.7333,4.0000,11.6333,10.2667,1.2367,15.9833
"interview individuals, and research public databases in order to obtain information.",31.0000,0.0031,2.8065,3.0000,10.0000,10.2258,1.5168,6.3387
"interview job applicants to obtain information on work history, training, education, or job skills.",138.0000,0.0138,3.3841,4.0000,13.4275,13.7536,1.7638,11.6957
"interview key staff or tour facilities to identify efficiency-improvement, cost-reduction, or service-delivery opportunities.",18.0000,0.0018,3.5556,4.0000,8.7778,11.1667,1.0967,5.4167
interview loan applicants to obtain personal and financial data and to assist in completing applications.,18.0000,0.0018,2.8333,3.0000,10.5556,9.7778,1.1028,9.5556
"interview or correspond with claimants, witnesses, police, physicians, or other relevant parties to determine claim settlement, denial, or review.",21.0000,0.0021,3.2381,3.0000,13.6190,13.3333,3.4690,18.8571
interview or examine patients to collect clinical data.,15.0000,0.0015,3.4000,4.0000,10.0000,8.9333,0.7700,13.6000
"interview prospective clients to obtain data about their financial resources and needs, the physical condition of the person or property to be insured, and to discuss any existing coverage.",93.0000,0.0093,3.3011,3.0000,11.4409,11.3656,1.9475,9.9624
interview subject matter experts or conduct other research to develop instructional content.,41.0000,0.0041,3.4634,4.0000,11.5122,13.0000,3.8159,9.4512
"invent names for products and write the slogans that appear on packaging, brochures and other promotional material.",161.0000,0.0161,3.4720,4.0000,10.4596,10.5093,2.9803,17.0373
"investigate and resolve complaints regarding food quality, service, or accommodations.",29.0000,0.0029,3.2759,3.0000,11.5517,11.5517,1.9348,14.5172
investigate available investment opportunities to determine compatibility with client financial plans.,45.0000,0.0045,3.5111,4.0000,12.8444,12.6222,3.9522,7.5667
"investigate characteristics such as cost, performance, or process capability of potential microelectromechanical systems (mems) device designs, using simulation or modeling software.",86.0000,0.0086,3.6744,4.0000,15.3023,15.2093,5.3058,19.1047
investigate customer or public complaints to determine the nature and extent of problems.,125.0000,0.0125,3.2800,3.0000,13.2160,12.8560,3.0986,14.6760
investigate or test specific construction project materials to determine compliance to specifications or standards.,41.0000,0.0041,3.2927,3.0000,13.9024,14.0244,3.5171,12.7561
investigate product complaints and prepare documentation and submissions to appropriate regulatory agencies as necessary.,38.0000,0.0038,3.2632,3.0000,14.4737,13.8947,5.3184,15.6974
"investigate products or markets to determine areas for opportunity or viability for merchandising specific products, using online or offline sources.",106.0000,0.0106,3.4245,4.0000,11.4528,11.5377,4.8373,6.5094
investigate property availability for purposes of development.,54.0000,0.0054,3.2037,3.5000,13.0185,12.8519,5.2607,7.6944
"investigate the nature, composition, or expression of genes or research how genetic engineering can impact these processes.",26.0000,0.0026,3.5385,4.0000,14.9231,14.3846,3.6173,15.1346
investigate the relationship between organisms and disease including the control of epidemics and the effects of antibiotics on microorganisms.,20.0000,0.0020,3.4000,3.5000,12.7500,11.5500,3.1200,8.6000
"investigate theoretical or conceptual issues, such as the human design considerations of lunar landers or habitats.",172.0000,0.0172,3.6686,4.0000,12.9070,12.2384,4.2034,14.7035
"investigate whether networks, workstations, the central processing unit of the system, or peripheral equipment are responding to a program's instructions.",70.0000,0.0070,3.2571,3.0000,11.3571,10.8571,0.8021,6.6607
"investigate, evaluate, and settle claims, applying technical knowledge and human relations skills to effect fair and prompt disposal of cases and to contribute to a reduced loss ratio.",33.0000,0.0033,3.2424,3.0000,15.6364,15.4848,5.3379,22.2727
"isolate and maintain cultures of bacteria or other microorganisms in prescribed or developed media, controlling moisture, aeration, temperature, and nutrition.",21.0000,0.0021,3.1905,3.0000,14.9048,14.8095,2.4690,13.0952
issue and record adjustments to pay related to previous errors or retroactive increases.,17.0000,0.0017,3.2941,3.0000,12.1176,13.1176,1.1559,11.5588
"keep abreast of developments and technological advances in the mathematical field by reading current literature, talking with colleagues, and participating in professional conferences.",15.0000,0.0015,3.5333,4.0000,13.6000,13.4000,2.1733,17.1667
